"userID","TotalElite","EliteOrNot","TotalVotes","TotalFriends","Year","Month","review_count","fans","average_stars"
"7DIcoT9l3sAlFGKu1bHKgA",0,0,2,36,2014,9,13,0,5
"CuVTy-_S1IknzeUzow_B3A",0,0,2,0,2013,8,8,0,3.89
"0yvkIPEP6b2QtOPOX8vJjw",0,0,148,1,2008,7,48,1,3.41
"GINV0adWTEE7U1077DHYjA",0,0,59,9,2010,6,17,3,4.29
"ezKJz2l63K-fgjq9ipfpLg",0,0,4,0,2009,11,6,0,3.33
"dWCl1sS6kNMdHcRhzQB43Q",0,0,36,1,2012,8,10,1,4.6
"2RUh9jcg-FPh9nPoUM5a0A",0,0,14,17,2010,3,3,2,3.67
"kvsb8XDcndC9RufkA15WkQ",0,0,3,0,2011,6,2,0,4
"qgkseik96JMXvffHJZnWNA",0,0,3,0,2014,3,3,0,2.5
"gXmbTQUtoOr4cwsdlQhXyQ",0,0,11,0,2010,4,7,0,4.5
"UCJNJyOu7IEOXwa-MgElbw",0,0,1,0,2015,2,2,0,1
"i6EiMfu2A-QzpcyPbnBlQw",0,0,7,0,2013,1,6,0,3.4
"93Sn-zoVJz1TKxPXUPrh8w",0,0,3,0,2012,7,2,0,1
"UyVPIy50KUEnR09GHvUq1w",0,0,5,9,2009,10,18,1,4.17
"SzsOBn2_3l9rgZQmbaSk9g",0,0,50,2,2012,7,34,0,3.26
"ETm3Gc66Cvr7saOU7KekiA",0,0,2,0,2014,10,17,0,4
"C88lVZn1vEvPEt_b1szzoA",0,0,5,0,2015,1,1,0,5
"02AhJormeHVQYvXKgcBnGg",0,0,4,0,2010,2,16,0,2.93
"YahxBqW8cG-e6izKpjS0fg",0,0,2,0,2014,2,2,0,5
"4H-IfBDP5GkfNsQeHi4sHA",0,0,12,1,2015,2,9,0,2.7
"1rqk5FH9QtYhyKQx5pIadA",0,0,0,0,2014,4,2,0,1
"LC3x0HMsOFYYnZXJeyap9w",0,0,15,12,2012,6,5,0,3.8
"d7tUnJ7O-gm1V_Z5rGEE1A",0,0,7,0,2014,10,5,0,3.6
"r0ur4z79AVenjlH1HS_MPQ",0,0,0,3,2013,3,1,0,2
"DJ1CjIilLEUg4BVP-UMUsA",0,0,0,0,2013,12,3,0,4
"39jztxb0r06caqI3fTPN6w",0,0,314,0,2010,3,79,1,2.99
"nSmxoRGhSXQPErB4iUkfCg",0,0,0,0,2014,5,3,0,3.33
"lbsCSOsMa9RrJy0SfvxJyw",0,0,1,0,2013,12,2,0,2
"q1pYvryJ-7q4LPS2wk1row",0,0,36,0,2010,3,11,2,2.55
"JCbQqmqldsVHdPVwiAca9A",0,0,10,0,2012,1,9,0,4.89
"OcLcaiN33qxka1ChgdYxxg",0,0,0,47,2011,4,1,0,5
"iJhgpTaXgOAkY9_ur3IwOg",0,0,0,0,2015,9,1,0,4
"CWYHXKPXqP4KgY3TyI54lg",0,0,414,6,2007,10,119,2,4.25
"yh-Y6et4iai2bf7l1myb5A",3,1,1466,34,2008,8,272,3,3.62
"0IgXqJkR0z2nDWZ6avQH7Q",0,0,609,18,2009,5,396,10,4.07
"uuFZuPE9T9Jmco8tV4wKSg",0,0,1,0,2011,11,2,0,1
"RfWoHHz5SrBnJLcznv-lbw",0,0,14,0,2009,4,11,0,4.64
"3PJV2PIq7Y5L8xjNwNPFjg",0,0,3,0,2012,2,10,0,3.11
"S5bWqIBdnW38Sa9Be0HRjA",0,0,30,21,2008,8,17,2,4.18
"BFbd8IbbiQS8VOYWJqyc6g",0,0,44,1,2013,8,33,0,3.49
"ZV0n9z20cFNaiaEv1h6KEw",0,0,0,0,2014,3,1,0,1
"bGuKL1ntKSsl92v6itmZDg",0,0,1,0,2013,4,2,0,1
"X2J9yBiznPfH_wgbjLty6w",0,0,0,0,2013,6,8,0,4.4
"Cji338IoT0QHk2pKj5a2Sw",0,0,16,1,2011,4,14,0,3.13
"x8lLHds6pwwN-NNMo6sDCg",0,0,11,1,2013,10,6,0,4
"PD8CZrgmHrd4FG8MUfRTew",0,0,12,0,2011,10,12,0,3.09
"aq3oClIToTuJ1-ITHA8qOA",0,0,63,0,2009,8,32,1,3.51
"5huQ37bIjywkcilDtCfK6w",0,0,348,5,2007,8,110,3,3.66
"JvNMjQKeY5_z9SMIkj-KfQ",0,0,5,0,2010,11,7,0,3.86
"7P52DXIjynsOtnO9nRFyyQ",0,0,26,2,2012,10,12,1,3.75
"sDEiaIzaoYmFrEPTeqdPmg",0,0,0,0,2015,3,3,0,5
"rbP862QQGWBQ0FZ-eyaW1A",0,0,3,0,2011,4,4,0,2.75
"ysYys5d456wHC2q_jk9AzA",0,0,43,7,2011,7,22,1,4
"iYSB_M_JTKXw3AEEgKLFzw",0,0,7,3,2015,2,12,0,3.91
"83CgbtfxnOlE9p1IzEJ9xQ",1,1,92,6,2012,7,64,5,3.42
"llgcslG0HUhPlSIR1zvAYA",0,0,11,2,2011,9,4,0,4.33
"ay5cNdXr-76FDHXsRJgNgQ",0,0,66,3,2010,7,37,0,4.37
"hU0752H78MhCBYOEbIrDhQ",0,0,1,0,2011,12,3,0,5
"ViF0Ud-y9V6ootACAQnYZw",0,0,22,4,2010,3,6,0,2.67
"bgQ5_5Nu-hv4ZiQ5buzjxg",0,0,37,4,2010,5,16,0,3.5
"ncBdchPajKEtfDMR9th4JA",0,0,3,8,2013,9,5,0,3.6
"sDxX-i56Wj0nIWqB2T2dkQ",0,0,2,0,2014,2,4,0,4.5
"L3MUG0jibYKe-IkknKuCgQ",0,0,36,2,2009,9,44,1,4.5
"i48ULC3HeT70O5rUsntpBA",0,0,2,1,2010,6,7,1,4
"bclp4mtE0MwDrUxlxHO_tg",0,0,0,0,2015,5,3,0,3.67
"wOsO7UMaHeefrRDSOQEPJA",0,0,23,2,2010,4,8,0,2.71
"OifxmhX4X_qeMIYuFE_0Ew",0,0,10,0,2011,1,7,0,2.33
"UBu9AkLTiECU1YAuFyAepA",0,0,6,0,2013,12,7,0,3.43
"gGO6xNGp9hK2BA7jxEvzww",0,0,3,0,2010,12,3,0,3.67
"L-M0Icezf3-L2bJuNLOgcw",0,0,5,0,2013,6,3,0,2.67
"XqDh0QDMoMAaBvJcakze5A",0,0,91,49,2011,8,26,0,4.08
"KzZCnfwVoubg-7K4rwBBSw",0,0,22,0,2009,1,19,1,4.11
"bCjHme_xnufAj0x7g3otBA",0,0,12,1,2015,8,2,1,4.5
"Cua6g8PasfVIHXZuJ4B01w",0,0,2,0,2013,11,2,0,5
"W5d3kHJsV2hhFhsMdThm4Q",0,0,0,0,2013,12,1,0,5
"aghaM4eSm9zwgqOxmjid1A",0,0,28,6,2011,1,7,0,3.38
"ea5bkvZvCcElfPHMrZu9pQ",0,0,18,0,2008,7,12,0,3.58
"rMk6Td84Q78nUIntroT8jQ",0,0,1,0,2011,1,2,0,3
"I0Wf2lQX-uxMm8ZjagQbFw",0,0,1,0,2014,8,7,0,3.43
"Lr2SUtwROEW5Y9oTZlLN5w",0,0,3,1,2012,5,1,1,1
"xmDfBYlNKYVrTSbYfK74wg",0,0,3,4,2013,12,3,0,5
"SsCYWFnYEmcYNOfaAch-5A",0,0,102,0,2012,2,47,0,3.35
"cEmcZztY00T_a4MPG86TpA",0,0,1,0,2012,7,3,0,5
"QEmDc_Sg7HXvNF859h3ddA",0,0,2,0,2014,5,7,0,3.43
"gLl-ACgTe7x_l6u1ricABQ",0,0,0,0,2011,6,1,0,4
"Gx0BKQNjkX_alalLIcFhXw",0,0,0,4,2015,5,1,0,1
"tA9SULHjjf5Eb8BNofsPVw",0,0,47,12,2008,11,64,4,4.05
"n0ze5xgg3AAJSJlv72RIhg",0,0,30,4,2011,3,43,0,4.72
"NzQLWpd5hjAEFsoHCHFRvw",0,0,9,0,2015,4,14,0,3.38
"z2-NpJfn-DLY5eUeTM0koQ",0,0,11,0,2012,3,1,0,1
"bNhZ5E7H1MttLDwcjaCJwA",0,0,57,1,2011,5,11,0,3.09
"1XJJ3-DdF86d4714u5rgBw",0,0,9,0,2011,3,12,0,3.42
"WrZkUhP4leMOYa7t-zICNA",0,0,98,1,2011,9,62,2,3.1
"ctL3V3Jxz7mFFa9kHD0hIQ",0,0,1,0,2014,7,3,0,3.33
"RiLL3dgO52SIgDP1jr5Fow",0,0,4,0,2010,12,3,0,5
"qOdkpEYJ31nWaHUcvWzBiw",0,0,0,0,2015,6,2,0,5
"DUHuix8-4qpH3fHsdNWHMw",0,0,2,1,2014,8,2,0,2
"l0uZsHXihtLt-CBcZ-2Ttw",0,0,0,0,2014,5,1,0,4
"PkpIbd-dDeQwwUDRs7qoOw",0,0,31,0,2009,3,11,0,3
"44zK5xEIgqy-LvSKU_HDyw",0,0,0,1,2014,9,1,0,1
"Y_rD2znh7JRwVmjSPiLsgQ",0,0,0,0,2015,2,1,0,1
"0xVae34Ez11xVzLRJGJ1mg",0,0,15,1,2013,3,11,0,3.09
"rQuh2e-uPCS2JgrU_U317Q",0,0,13,6,2011,7,6,1,4.17
"kQMjnWMGRKo_ktwp19lLcg",1,1,166,10,2009,9,108,2,3.57
"ikUqmee83eH5O7ujivXRJw",0,0,3,0,2013,7,3,0,3.67
"yZsY8PfyUMZsZKAVrgUrbA",0,0,2,0,2013,9,5,0,4.2
"zq2wbi4gbLIeBgsdT3OHMw",0,0,9,11,2015,6,12,1,4
"q1f6E3wYMscom3frgfzO-A",0,0,2,1,2015,4,5,0,3.2
"DoqHGJ8e7k2onwmQNr3ubg",0,0,6,1,2014,3,4,0,4
"YlmhzulExnH9jn7cdsKvSw",0,0,3,4,2014,1,1,0,2
"fpTUeaBUpgw316h6v8Lhpw",0,0,5,1,2010,5,11,0,4.92
"yISt1ZkgtLQPmznpQ_XZ-Q",0,0,8,1,2011,6,8,1,4
"YGwyUMfobpUkURgPZ1-kow",0,0,48,36,2011,2,34,0,4.17
"9b4FAQi3MUuro88iNw6Uxw",0,0,8,0,2011,12,1,0,4
"4CmwxYF3_ie4SKIpAzGB8A",0,0,43,1,2014,1,12,0,2.33
"2pA858fvo_EwXtMlMmz9Jw",0,0,18,2,2014,11,11,0,3.64
"qCOQLa6ZsSV2vjefAp-u8g",0,0,28,0,2010,11,17,1,2.56
"xl1wXTz7YoSiai6Z3tCBFA",0,0,46,11,2008,3,21,0,4.19
"fRPIwMGp0lst57l7mRErxQ",0,0,22,0,2012,1,11,0,4.82
"hjUTD0JGMllifZ-lavSjlQ",0,0,19,0,2010,5,24,0,3.78
"YP853vswOgPd0j4aPKjXgg",0,0,6,0,2013,6,2,0,1
"u3h-FrHosZShJ51gQsFU1Q",0,0,16,6,2012,3,8,2,4.62
"bfMAXDAFYlMUbnl4uJCwuw",0,0,0,0,2014,10,1,0,4
"Wr-zDnVg1LAhxeVZHANJMw",0,0,5,0,2013,9,2,0,1
"iQWe45FIhJQ_VvZbznLTCQ",0,0,16,1,2009,9,8,0,4
"xSmygnZ-io6VvL-V2w7NmQ",0,0,1,0,2014,12,3,0,4.67
"H2ZY8qk7_2742RvgrrLNug",0,0,16,0,2010,8,28,1,4.23
"cvMC0ZsZo2TmS5DvKwT3nA",6,1,1090,98,2008,2,349,14,3.74
"WLqSi5dUWuLf56-TBkF53w",0,0,11,1,2014,3,6,0,5
"NDh6h5hKeZRM5eB2k-f1Ug",0,0,1,0,2010,6,3,0,5
"rNaJA9O5q-auNkTSpZzw6g",0,0,0,0,2010,7,1,0,5
"nP-9ck-mxhMBnSh2mXaj9A",4,1,300,7,2008,2,157,1,3.65
"2PktaZ7uPpu5agP4L8KZZA",0,0,20,2,2008,2,81,1,3.87
"-SuNG0UNAspVHrP9DDXuaA",0,0,28,0,2011,4,5,1,3.6
"-DT5p9_ewd_jQOM3TAj2kQ",0,0,5,0,2013,7,8,0,4.62
"R509C25NoW-dDsQbHRtTUg",0,0,0,0,2012,1,4,0,2.75
"W9uErh_-K-BksG7OqmwGCA",0,0,0,0,2015,2,3,0,5
"wjtJMI4proKxIZTf-U6Fzg",0,0,0,0,2015,1,2,0,1
